,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee
0,94c9c1c8-f806-4dd6-9124-0447101139ce,"November 27, 2022",2022-11-27 19:17:26 UTC,Sandra Carreón,SRID=4326;POINT(-98.1980873644 19.0486653032),19.0486653032,-98.1980873644,Efectivo,yes,encontro todo,4 a 6 cuadras,A pie,1,ninguno,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,yes,No lo hago,no,yes,Recargas ,5,4,2,250,100,18,Male,Grocery store (aka. nanostore),MINI SUPER 3 NORTE,19.0486653032,-98.1980873644,1,5,4,2,250,100,18
1,1766c0a9-8f4d-452e-b2f9-5c7f7fa6e509,"November 27, 2022",2022-11-27 19:17:26 UTC,Sandra Carreón,SRID=4326;POINT(-98.198058866 19.0487039671),19.0487039671,-98.198058866,Efectivo,yes,encontro todo,7 a 10 cuadras,A pie,2,ninguno,No lo hago,no,No lo hago,no,No lo hago,no,"Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,No lo hago,no,no,Pago con tarjeta,5,3,0,300,100,17,Male,Grocery store (aka. nanostore),MINI SUPER 3 NORTE,19.0487039671,-98.198058866,2,5,3,0,300,100,17
2,3f1e53cb-d761-48aa-be19-18d69ecbebf2,"November 27, 2022",2022-11-27 19:00:55 UTC,Sandra Carreón,SRID=4326;POINT(-98.2017408684 19.0459141241),19.0459141241,-98.2017408684,Efectivo,yes,encontro todo,7 a 10 cuadras,Bicicleta,2,ninguno,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,"Proveedor de gas,Tienda de conveniencia (e.g. OXXO)",no,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,yes,Terminal de tarjeta ,9,12,2,500,300,30,Male,Grocery store (aka. nanostore),Abarrotes licores y vinos La ranita ,19.0459141241,-98.2017408684,2,9,12,2,500,300,30
3,335e6647-537c-47da-9efa-805a110f6936,"November 27, 2022",2022-11-27 18:51:26 UTC,Sandra Carreón,SRID=4326;POINT(-98.1981215626 19.04858956),19.04858956,-98.1981215626,Efectivo,yes,encontro todo,7 a 10 cuadras,A pie,3,ninguno,CFE,yes,Sistema de agua,yes,"Proveedor de gas,Tienda de conveniencia (e.g. OXXO)",yes,"Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,No lo hago,no,yes,Recargas ,2,0,1,280,150,24,Male,Grocery store (aka. nanostore),Miscelánea ,19.04858956,-98.1981215626,3,2,0,1,280,150,24
4,902e4d41-8299-424d-834b-d1090b1743c0,"November 27, 2022",2022-11-27 16:03:02 UTC,Sandra Carreón,SRID=4326;POINT(-98.1988253072 19.0441482241),19.0441482241,-98.1988253072,Efectivo,yes,encontro todo,7 a 10 cuadras,A pie,2,ninguno,No lo hago,no,No lo hago,no,Proveedor de gas,no,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,Banco,no,no,Pago con tarjeta,2,5,1,250,150,22,Female,Grocery store (aka. nanostore),Ranita “V”,19.0441482241,-98.1988253072,2,2,5,1,250,150,22
5,23c8e9f7-3099-41da-aac4-05d2185e1733,"November 27, 2022",2022-11-27 16:03:02 UTC,Sandra Carreón,SRID=4326;POINT(-98.198793456 19.0441976644),19.0441976644,-98.198793456,Efectivo,yes,encontro todo,4 a 6 cuadras,A pie,2,ninguno,No lo hago,no,Sistema de agua,no,Proveedor de gas,no,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,No lo hago,no,yes,Recargas ,3,0,0,300,170,20,Male,Grocery store (aka. nanostore),Ranita “V”,19.0441976644,-98.198793456,2,3,0,0,300,170,20
6,a494aa93-9568-4a39-bcdd-e4e7e45c6d7e,"November 18, 2022",2022-11-27 16:03:01 UTC,Sandra Carreón,SRID=4326;POINT(-98.19873679 19.04405124),19.04405124,-98.19873679,Efectivo,yes,encontro todo,más de 10 cuadras,Automóvil,1,ninguno,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,"Tienda de conveniencia (e.g. OXXO),Tiendita",no,"Banco,Supermercado,Tienda de conveniencia (e.g. OXXO)",no,yes,Terminal de tarjeta ,2,3,0,200,150,21,Female,Grocery store (aka. nanostore),Ranita “V”,19.04405124,-98.19873679,1,2,3,0,200,150,21
7,ed23476c-2787-4d5d-8fcc-3f1ae6518321,"November 26, 2022",2022-11-27 16:03:00 UTC,Sandra Carreón,SRID=4326;POINT(-98.2033458352 19.0459049334),19.0459049334,-98.2033458352,Efectivo,yes,encontro todo,7 a 10 cuadras,A pie,4,ninguno,No lo hago,no,No lo hago,no,No lo hago,no,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,No lo hago,no,no,Pago con tarjeta,3,10,5,200,100,16,Male,Grocery store (aka. nanostore),Ranita “V”,19.0459049334,-98.2033458352,4,3,10,5,200,100,16
8,bee0a85f-07e7-487b-a399-c5093a7bb36d,"November 27, 2022",2022-11-27 14:22:54 UTC,Irvin Vásquez Figueroa,SRID=4326;POINT(-98.2704912499 19.0024073643),19.0024073643,-98.2704912499,Tarjeta de débito y/o crédito,yes,encontro todo,más de 10 cuadras,Automóvil,1,ninguno,CFE,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,Pago con tarjeta,3,0,1,200,75,29,Male,vestidos,Casa sofia bodas ,19.0024073643,-98.2704912499,1,3,0,1,200,75,29
9,e8749cc5-86d5-479c-858d-07da7cfe21b5,"November 27, 2022",2022-11-27 14:09:30 UTC,Irvin Vásquez Figueroa,SRID=4326;POINT(-98.2660444826 19.004165149),19.004165149,-98.2660444826,Tarjeta de débito y/o crédito,yes,encontro todo,4 a 6 cuadras,Automóvil,2,ninguno,CFE,yes,"Sistema de agua,Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,"Proveedor de gas,Tienda de conveniencia (e.g. OXXO)",yes,"Tienda de conveniencia (e.g. OXXO),Tiendita",no,Banco,no,no,Pago con tarjeta,0,0,0,200,50,51,Female,Cafeteria,Pastelería gourmet,19.004165149,-98.2660444826,2,0,0,0,200,50,51
10,62173ae3-aa16-43e8-9504-8e58e1ab4124,"November 27, 2022",2022-11-27 13:09:08 UTC,Irvin Vásquez Figueroa,SRID=4326;POINT(-98.2668618858 19.0042716616),19.0042716616,-98.2668618858,Efectivo,yes,encontro todo,0 a 3 cuadras,A pie,1,ninguno,CFE,no,Sistema de agua,no,No lo hago,no,No lo hago,no,No lo hago,no,no,Pago con tarjeta,0,0,0,0,0,33,Female,Cafeteria,Postreria,19.0042716616,-98.2668618858,1,0,0,0,0,0,33
11,63c7016f-9374-4e3d-9ada-779dbb3cf51c,"November 27, 2022",2022-11-27 13:09:08 UTC,Irvin Vásquez Figueroa,SRID=4326;POINT(-98.2668820024 19.0042903647),19.0042903647,-98.2668820024,Efectivo,no,Jugo,4 a 6 cuadras,Motocicleta,3,Mas variedad de sabores,No lo hago,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,Tiendita,no,No lo hago,no,no,Pago con tarjeta,4,2,1,400,250,36,Male,Produce (fruits & vegetables),Juice Market Lomas ,19.0042903647,-98.2668820024,3,4,2,1,400,250,36
12,49c211f0-43d1-43b7-8e14-ba916d101f73,"November 27, 2022",2022-11-27 13:09:07 UTC,Irvin Vásquez Figueroa,SRID=4326;POINT(-98.2667257637 19.0043702491),19.0043702491,-98.2667257637,Tarjeta de débito y/o crédito,yes,encontro todo,más de 10 cuadras,Automóvil,1,ninguno,"Banco,CFE",no,"Banco,Sistema de agua",no,Proveedor de gas,no,No lo hago,no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,Pago con tarjeta,3,0,0,100,50,46,Female,Dairy products,La postreria ,19.0043702491,-98.2667257637,1,3,0,0,100,50,46
